#sample	predicted haplogroup	reads
Q1.fa	Q1	1
#sample	predicted haplogroup	reads
A2.fa	A2	1
#sample	predicted haplogroup	reads
L2a1j.fa	L2a1j	1
#sample	predicted haplogroup	reads
D1.fa	D1	1
#sample	predicted haplogroup	reads
J2a1a1a1.fa	J2a1a1a1	1
#sample	predicted haplogroup	reads
U2e1b1.fa	U2e1b1	1
#sample	predicted haplogroup	reads
L1c2b.fa	L1c2	1
#sample	predicted haplogroup	reads
L1c4b.fa	L1c4b	1
#sample	predicted haplogroup	reads
E1a1b.fa	E1a1b	1
#sample	predicted haplogroup	reads
V3.fa	V3	1
#sample	predicted haplogroup	reads
L0a1a1.fa	L0a1a1	1
#sample	predicted haplogroup	reads
T2e1a1b1.fa	T2e1a1b1	1
#sample	predicted haplogroup	reads
HV4b.fa	HV4b	1
#sample	predicted haplogroup	reads
L2a1a3c.fa	L2a1a3c	1
#sample	predicted haplogroup	reads
B2b3a.fa	B2b3a	1
#sample	predicted haplogroup	reads
Y1b.fa	Y1b	1
#sample	predicted haplogroup	reads
P.fa	P	1
#sample	predicted haplogroup	reads
Z1a.fa	Z1a	1
#sample	predicted haplogroup	reads
S1a.fa	S1a	1
#sample	predicted haplogroup	reads
I2b.fa	I2b	1
#sample	predicted haplogroup	reads
H2a2a1.fa	H2a2a1	1
#sample	predicted haplogroup	reads
F1a1.fa	F1a1	1
#sample	predicted haplogroup	reads
X3a.fa	X3a	1
#sample	predicted haplogroup	reads
L3b1.fa	L3b1	1
#sample	predicted haplogroup	reads
C1b.fa	C1b	1
