"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"HG00473_0.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_0.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_0.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_0.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_0.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_1.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_1.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_1.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_1.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_1.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_10.0.1.bam"	"ND"	"ND"	"0"	"2"
"HG00473_10.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_10.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_10.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_10.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_10.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_10.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_10.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_10.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_10.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_11.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_11.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_11.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_11.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_11.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_11.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_11.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_11.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_11.1.0.bam"	"ND"	"ND"	"0"	"3"
"HG00473_12.0.1.bam"	"ND"	"ND"	"0"	"2"
"HG00473_12.0.2.bam"	"ND"	"ND"	"0"	"4"
"HG00473_12.0.3.bam"	"ND"	"ND"	"0"	"4"
"HG00473_12.0.4.bam"	"ND"	"ND"	"0"	"4"
"HG00473_12.0.5.bam"	"ND"	"ND"	"0"	"3"
"HG00473_12.0.6.bam"	"ND"	"ND"	"0"	"3"
"HG00473_12.0.7.bam"	"ND"	"ND"	"0"	"2"
