"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"NA19661_0.0.1.bam"	"ND"	"ND"	"0"	"2"
"NA19661_0.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_0.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_0.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_0.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_0.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_0.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_0.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_0.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_0.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_1.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_1.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_1.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_1.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_1.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_1.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_1.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_1.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_1.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_10.0.1.bam"	"ND"	"ND"	"0"	"2"
"NA19661_10.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_10.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_10.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_10.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_10.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_10.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_10.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_10.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_10.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_11.0.1.bam"	"ND"	"ND"	"0"	"3"
"NA19661_11.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_11.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_11.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_11.0.5.bam"	"ND"	"ND"	"0"	"3"
"NA19661_11.0.6.bam"	"ND"	"ND"	"0"	"3"
"NA19661_11.0.7.bam"	"ND"	"ND"	"0"	"3"
"NA19661_11.0.8.bam"	"ND"	"ND"	"0"	"3"
"NA19661_11.0.9.bam"	"ND"	"ND"	"0"	"3"
"NA19661_11.1.0.bam"	"ND"	"ND"	"0"	"3"
"NA19661_12.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_12.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_12.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_12.0.8.bam"	"ND"	"ND"	"0"	"2"
