"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"A2_n1000_l100_rep0_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep0_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep10_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep10_s0.09_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep10_s0.1_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep10_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep10_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep11_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep11_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep11_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep11_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep11_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep11_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep11_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep11_s0.3_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep12_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep12_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep12_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep12_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep12_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep12_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep12_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep12_s0.3_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep13_s0.02_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep13_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep13_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep13_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep13_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep13_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep13_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep13_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep13_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep13_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep13_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep14_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep14_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep14_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep14_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep14_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep14_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep14_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep14_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep14_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep14_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep15_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep15_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep15_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep15_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep15_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep15_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep15_s0.3_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep16_s0.02_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep16_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep16_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep16_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep16_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep16_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep16_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep16_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep16_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep16_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep16_s0.3_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep17_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep17_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep17_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep17_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep17_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep17_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep20_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep20_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
