"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"numtS_and_A2_n1000_l100_rep0_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep0_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep10_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep10_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"3"
"numtS_and_A2_n1000_l100_rep10_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"3"
"numtS_and_A2_n1000_l100_rep10_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep10_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep11_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep11_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep11_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep11_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep11_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep11_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep11_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep11_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"3"
"numtS_and_A2_n1000_l100_rep12_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep12_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep12_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep12_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep12_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep12_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep12_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep12_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"3"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.02_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep13_nr200_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"numtS_and_A2_n1000_l100_rep14_nr200_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
